821;"Gauweg";19354
822;"Pasteurstr.";15460
823;"Göttinger Str.";13774
824;"St. Vinzenz-Hospital";15073
825;"Wilhelmstr.";15072
826;"Cranachstr.";15071
827;"Beuelsweg";15055
828;"Kuenstr.";15056
829;"Schneider-Clauss-Str.";15057
830;"Bahnstr.";13707
831;"Klinikum Merheim";18558
832;"Auf dem Streitacker";17257
833;"Lessingstr.";14241
834;"Marienstr.";14243
835;"Bf Ehrenfeld";14201
836;"Takustr.";14242
837;"Zonser Str.";15064
838;"Friedr.-Karl-Str./Neusser Str.";15355
839;"Stommeler Str.";15556
840;"Immendorf Schule";12981
841;"Am Nordpark";15653
842;"Gisbertstr.";19870
843;"LVR Kliniken";18559
846;"Wiso-Fakultät";11652
847;"Lindenweg";12671
849;"Franziska-Anneke-Str.";14463
850;"Prälat-van-Acken-Str.";13314
851;"Amselstr.";19666
852;"Am Serviesberg";13559
853;"Morsestr.";16486
854;"Marconistr.";16485
855;"Feldkasseler Weg";16487
856;"Florenzer Str.";16181
857;"Esch Friedhof";16059
858;"Marconistr. Ost";16488
859;"Güterverkehrszentrum";12563
860;"Longericher Str./Etzelstr.";15270
861;"Hugo-Junkers-Str.";15560
862;"Glashüttenstr.";17360
863;"Klingerstr.";17361
864;"Köln/Bonn Flughafen Verwaltung";17552
866;"Bachemer Str.";13050
868;"Hopfenstr.";18560
871;"IKEA Godorf";12957
872;"Bistritzer Str.";13775
873;"Wattstr.";18366
874;"Am Vorgebirgstor";12056
875;"Justizzentrum";13151
876;"Südbahnhof";11530
877;"Am Leinacker";19568
878;"Heinz-Kühn-Str.";19569
879;"Roteichenweg";19570
880;"Freiligrathstr.";13358
881;"Weserpromenade";16357
882;"Neißestr.";16358
883;"Havelstr.";16360
884;"Habichtstr.";12669
885;"Neven DuMont Haus";15463
886;"Schulzentrum Wahn";17773
887;"Scheuermühlenstr.";17779
888;"Kaserne Haupttor";17780
890;"Deutzer Friedhof";18367
891;"Schanzenstr.";19352
892;"Köln/Bonn Flughafen Bf";17551
895;"Schumacherring";14675
897;"Heinrich-Lübke-Ufer";12411
898;"Am Hochkreuz";17251
899;"Am Coloneum";14473
900;"CöllnParc";15262
901;"Voltastr.";17351
902;"Hahnwald  Judenpfad";12667
903;"Sparkasse Am Butzweilerhof";14414
908;"Oper im Palladium";19255
909;"Celsiusstr.";17354
910;"Belvederestr.";13554
911;"Carlswerkstr.";19254
913;"Volksgarten";11454
914;"Zugweg";11453
915;"Güterverkehrszentrum Süd";12564
916;"Paul-Nießen-Str.";12057
918;"Im Rheintal";12559
919;"Lüderichstr.";18356
976;"IKEA Am Butzweilerhof";14415
1862;"K Airport Businesspark";17203
2548;"Windmühlenstr.";19051
2592;"Worringen (S) Westseite";16652
2602;"Mühlenbach";11351
2608;"Brauweiler Str.";13746
2751;"Gemarkenstr.";19553
2807;"Niederkasseler Str.";17758
2809;"Spicher Str.";17759
3626;"In der Hardt";19632
3627;"Hardthof";19633
3739;"Paffrather Str.";19541
5217;"Penningsfelder Weg";19552
5218;"Strundener Str.";19551
5233;"Bergisch Gladbacher Str.";19577
5234;"Möhlstr.";19576
5235;"Torringer Weg";19681
6598;"Brennerei";13856
6623;"Autobahn / B59";14633
6812;"Rothgerberbach (Poststr.)";11131
6825;"Scherfginstr.";13231
6973;"CHEMPARK Tor 10";19992
7089;"Sankt-Tönnis-Platz";16870
7206;"Am Kreuzweg";12558
7394;"St. Vincenz-Haus";11861
7526;"Niederkasseler Str./Kreisel";17760
8756;"Blumenberg (S)";16701
8999;"Danzierstr.";19233
9574;"Chorweiler Nord (S)";16301
983;"Vogelsbergstr.";16753
984;"Langenbergstr.";16752
985;"Staffelbergstr.";16359
986;"Helaweg";16356
987;"Okerstr.";16355
988;"Swinestr.";16354
989;"Moldaustr.";16352
677;"Walberberg";53412
737;"Badorf";84311
730;"Efferen";83611
671;"Frankenforst";31614
670;"Kippekausen";31613
752;"Kierberg";84501
666;"Kölner Straße";31513
663;"Schlebusch";23111
814;"Dormagen Bayerwerk";92301
667;"Neuenweg";31514
655;"Im Hoppenkamp";31512
665;"Bensberg";31515
709;"Mühlengasse";82410
710;"Frechen Rathaus";82411
711;"Frechen Kirche";82412
712;"Frechen Bf";82413
274;"Alter Flughafen am Butzweilerhof";14451
903;"Sparkasse Am Butzweilerhof";14479
976;"IKEA Am Butzweilerhof";14464
976;"Brühl Süd";84111
1811;"Siegburg Bahnhof";55101
743;"Urfeld";85410
742;"Wesseling Nord";85112
